mpg;zylinder;ps;gewicht;beschleunigung;baujahr
17.50;6;95;3193;17.8;76
29.50;4;71;1825;12.2;76
32.00;4;70;1990;17;76
28.00;4;75;2155;16.4;76
26.50;4;72;2565;13.6;76
20.00;4;102;3150;15.7;76
13.00;8;150;3940;13.2;76
19.00;4;88;3270;21.9;76
19.00;6;108;2930;15.5;76
16.50;6;120;3820;16.7;76
16.50;8;180;4380;12.1;76
13.00;8;145;4055;12;76
13.00;8;130;3870;15;76
13.00;8;150;3755;14;76
31.50;4;68;2045;18.5;77
30.00;4;80;2155;14.8;77
36.00;4;58;1825;18.6;77
25.50;4;96;2300;15.5;77
33.50;4;70;1945;16.8;77
17.50;8;145;3880;12.5;77
17.00;8;110;4060;19;77
15.50;8;145;4140;13.7;77
15.00;8;130;4295;14.9;77
17.50;6;110;3520;16.4;77
20.50;6;105;3425;16.9;77
19.00;6;100;3630;17.7;77
18.50;6;98;3525;19;77
16.00;8;180;4220;11.1;77
15.50;8;170;4165;11.4;77
15.50;8;190;4325;12.2;77
16.00;8;149;4335;14.5;77
29.00;4;78;1940;14.5;77
24.50;4;88;2740;16;77
26.00;4;75;2265;18.2;77
25.50;4;89;2755;15.8;77
30.50;4;63;2051;17;77
33.50;4;83;2075;15.9;77
30.00;4;67;1985;16.4;77
30.50;4;78;2190;14.1;77
22.00;6;97;2815;14.5;77
21.50;4;110;2600;12.8;77
21.50;3;110;2720;13.5;77
43.10;4;48;1985;21.5;78
36.10;4;66;1800;14.4;78
32.80;4;52;1985;19.4;78
39.40;4;70;2070;18.6;78
36.10;4;60;1800;16.4;78
19.90;8;110;3365;15.5;78
19.40;8;140;3735;13.2;78
20.20;8;139;3570;12.8;78
19.20;6;105;3535;19.2;78
20.50;6;95;3155;18.2;78
20.20;6;85;2965;15.8;78
25.10;4;88;2720;15.4;78
20.50;6;100;3430;17.2;78
19.40;6;90;3210;17.2;78
20.60;6;105;3380;15.8;78
20.80;6;85;3070;16.7;78
18.60;6;110;3620;18.7;78
18.10;6;120;3410;15.1;78
19.20;8;145;3425;13.2;78
17.70;6;165;3445;13.4;78
18.10;8;139;3205;11.2;78
17.50;8;140;4080;13.7;78
30.00;4;68;2155;16.5;78
27.50;4;95;2560;14.2;78
27.20;4;97;2300;14.7;78
30.90;4;75;2230;14.5;78
21.10;4;95;2515;14.8;78
23.20;4;105;2745;16.7;78
23.80;4;85;2855;17.6;78
23.90;4;97;2405;14.9;78
20.30;5;103;2830;15.9;78
17.00;6;125;3140;13.6;78
21.60;4;115;2795;15.7;78
31.50;4;71;1990;14.9;78
29.50;4;68;2135;16.6;78
21.50;6;115;3245;15.4;79
19.80;6;85;2990;18.2;79
22.30;4;88;2890;17.3;79
20.20;6;90;3265;18.2;79
20.60;6;110;3360;16.6;79
17.00;8;130;3840;15.4;79
17.60;8;129;3725;13.4;79
16.50;8;138;3955;13.2;79
18.20;8;135;3830;15.2;79
16.90;8;155;4360;14.9;79
15.50;8;142;4054;14.3;79
19.20;8;125;3605;15;79
18.50;8;150;3940;13;79
31.90;4;71;1925;14;79
34.10;4;65;1975;15.2;79
35.70;4;80;1915;14.4;79
27.40;4;80;2670;15;79
25.40;5;77;3530;20.1;79
23.00;8;125;3900;17.4;79
27.20;4;71;3190;24.8;79
23.90;8;90;3420;22.2;79
34.20;4;70;2200;13.2;79
34.50;4;70;2150;14.9;79
31.80;4;65;2020;19.2;79
37.30;4;69;2130;14.7;79
28.40;4;90;2670;16;79
28.80;6;115;2595;11.3;79
26.80;6;115;2700;12.9;79
33.50;4;90;2556;13.2;79
41.50;4;76;2144;14.7;80
38.10;4;60;1968;18.8;80
32.10;4;70;2120;15.5;80
37.20;4;65;2019;16.4;80
28.00;4;90;2678;16.5;80
26.40;4;88;2870;18.1;80
24.30;4;90;3003;20.1;80
19.10;6;90;3381;18.7;80
34.30;4;78;2188;15.8;80
29.80;4;90;2711;15.5;80
31.30;4;75;2542;17.5;80
37.00;4;92;2434;15;80
32.20;4;75;2265;15.2;80
46.60;4;65;2110;17.9;80
27.90;4;105;2800;14.4;80
40.80;4;65;2110;19.2;80
44.30;4;48;2085;21.7;80
43.40;4;48;2335;23.7;80
36.40;5;67;2950;19.9;80
30.00;4;67;3250;21.8;80
44.60;4;67;1850;13.8;80
40.90;4;104;1835;17.3;80
33.80;4;67;2145;18;80
29.80;4;62;1845;15.3;80
32.70;6;132;2910;11.4;80
23.70;3;100;2420;12.5;80
35.00;4;88;2500;15.1;80
23.60;4;104;2905;14.3;80
32.40;4;72;2290;17;80
27.20;4;84;2490;15.7;81
26.60;4;84;2635;16.4;81
25.80;4;92;2620;14.4;81
23.50;6;110;2725;12.6;81
30.00;4;84;2385;12.9;81
39.10;4;58;1755;16.9;81
39.00;4;64;1875;16.4;81
35.10;4;60;1760;16.1;81
32.30;4;67;2065;17.8;81
37.00;4;65;1975;19.4;81
37.70;4;62;2050;17.3;81
34.10;4;68;1985;16;81
34.70;4;63;2215;14.9;81
34.40;4;65;2045;16.2;81
29.90;4;65;2380;20.7;81
33.00;4;74;2190;14.2;81
34.50;4;104;2320;15.8;81
33.70;4;75;2210;14.4;81
32.90;4;100;2615;14.8;81
31.60;4;74;2635;18.3;81
28.10;4;80;3230;20.4;81
30.70;6;76;3160;19.6;81
25.40;6;116;2900;12.6;81
24.20;6;120;2930;13.8;81
22.40;6;110;3415;15.8;81
26.60;8;105;3725;19;81
20.20;6;88;3060;17.1;81
17.60;6;85;3465;16.6;81
28.00;4;88;2605;19.6;82
27.00;4;88;2640;18.6;82
34.00;4;88;2395;18;82
31.00;4;85;2575;16.2;82
29.00;4;84;2525;16;82
27.00;4;90;2735;18;82
24.00;4;92;2865;16.4;82
23.00;4;104;3035;20.5;82
36.00;4;74;1980;15.3;82
37.00;4;68;2025;18.2;82
31.00;4;68;1970;17.6;82
38.00;4;63;2125;14.7;82
36.00;4;70;2125;17.3;82
36.00;4;88;2160;14.5;82
36.00;4;75;2205;14.5;82
34.00;4;70;2245;16.9;82
38.00;4;67;1965;15;82
32.00;4;67;1965;15.7;82
38.00;4;67;1995;16.2;82
25.00;6;110;2945;16.4;82
38.00;6;85;3015;17;82
26.00;4;92;2585;14.5;82
22.00;6;112;2835;14.7;82
32.00;4;96;2665;13.9;82
36.00;4;84;2370;13;82
27.00;4;90;2950;17.3;82
27.00;4;86;2790;15.6;82
44.00;4;52;2130;24.6;82
32.00;4;84;2295;11.6;82
28.00;4;79;2625;18.6;82
